Feature,Importance
is_home,0.10347744100126427
recent_avg_margin_5,0.07072436171665919
opponent_recent_avg_margin_5,0.05670772865302746
recent_scoring_difference,0.049784611912971
recent_form_difference,0.04762305198259659
recent_avg_conceded_5,0.046168427897856995
opponent_recent_avg_conceded_5,0.039124037502405215
previous_avg_conceded,0.032214668331994996
recent_avg_score_5,0.03202248723957432
defensive_strength_difference,0.03140236572823406
previous_avg_margin,0.030950079913344048
previous_matches,0.03049010966564553
win_rate_difference,0.030423829901629916
previous_avg_score,0.028981093805916857
scoring_strength_difference,0.027827509556603427
previous_win_rate,0.027387911138217078
opponent_previous_avg_conceded,0.026171425619697715
recent_win_rate_5,0.025829380229166927
opponent_previous_avg_margin,0.02573428911082783
opponent_recent_avg_score_5,0.025635173332712362
opponent_previous_avg_score,0.023428297183622934
opponent_previous_win_rate,0.021779262162819935
previous_avg_disposals,0.019381653751347507
recent_avg_fantasy_points_5,0.019242996396244594
previous_avg_tackles,0.019047007940789357
previous_avg_goals,0.018671937962474527
recent_avg_disposals_5,0.01866747347233886
recent_avg_tackles_5,0.018637341411420025
previous_avg_fantasy_points,0.018579435564953752
recent_avg_goals_5,0.017925005118639616
opponent_recent_win_rate_5,0.01595960479500298
